transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38-01_tr_107,Minister of Education,cabinetMinister,Sri Lanka Inventors' Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_108,Minister of Education,cabinetMinister,Sri Lanka Publication Development Bureau,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_109,Minister of Education,cabinetMinister,State Printing Corporation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_110,Minister of Education,cabinetMinister,Teachers' College,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_111,Minister of Education,cabinetMinister,Tertiary and Vocational Education Commission,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_112,Minister of Education,cabinetMinister,UNESCO National Commission of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_113,Minister of Education,cabinetMinister,University of Vocational Technology,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_114,Minister of Education,cabinetMinister,Vocational Training Authority of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_115,Minister of Environment,cabinetMinister,Central Environmental Authority,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_116,Minister of Environment,cabinetMinister,GSMB Technical Services (Pvt) Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_117,Minister of Environment,cabinetMinister,Geological Survey and Mines Bureau,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_118,Minister of Environment,cabinetMinister,Sri Lanka Climate Fund (Pvt) Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_119,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,"All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions",department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_120,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,BCC (Pvt) Limited,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_121,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Central Bank of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_122,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Colombo Lotus Tower Management Company (Pvt.) Limited,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_123,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Credit Information Bureau,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_124,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Census and Statistics,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_125,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Development Finance,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_126,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Excise,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_127,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of External Resources,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_128,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Fiscal Policy,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_129,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Inland Revenue,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_130,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Internal Trade,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_131,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Legal Affairs,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_132,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Management Audit,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_133,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Management Services,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_134,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of National Budget,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_135,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Public Enterprises,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_136,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Public Finance,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_137,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of State Accounts,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_138,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Telecommunications,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_139,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Trade and Investment Policies,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_140,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Treasury Operations,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_141,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Department of Valuation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_142,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Development Lotteries Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_143,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Employees' Trust Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_144,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Galoya Plantation (Pvt.) Company,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_145,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,General Treasury,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_146,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Housing Development Finance Corporation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_147,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Import and Export Control Department,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_148,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Institute of Policy Studies,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_149,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_150,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Insurance Regulatory Commission of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_151,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Janatha Fertilizer Enterprises Ltd,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_152,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Lady Lochore Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_153,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Lanka General Trading Company Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_154,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Mahinda Rajapaksa National Tele Cinema Park,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_155,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,National Equipment and Machinery Organization,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_156,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,National Insurance Trust Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_157,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,National Lotteries Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_158,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,National Planning Department,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_159,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,National Salt Limited,department,AS_DEPARTMENT,2024-09-25
